instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
203,18,180,BruteForce,S,0.08780062501318753,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0, 8: 1, 9: 0, 10: 0, 11: 1, 12: 0, 13: 0, 14: 1, 15: 0, 16: 0, 17: 1, 18: 0}"
204,18,180,BruteForce,U,0.36709179100580513,{}
205,18,180,BruteForce,U,0.3921675409656018,{}
206,18,180,BruteForce,S,0.13229924999177456,"{1: 1, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 1, 10: 1, 11: 1, 12: 0, 13: 0, 14: 0, 15: 1, 16: 0, 17: 1, 18: 0}"
207,18,180,BruteForce,U,0.31187312491238117,{}
208,18,180,BruteForce,S,0.06315004103817046,"{1: 1, 2: 1, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0, 8: 0, 9: 1, 10: 1, 11: 0, 12: 0, 13: 1, 14: 0, 15: 1, 16: 1, 17: 0, 18: 0}"
209,18,180,BruteForce,U,0.31863879202865064,{}
210,18,180,BruteForce,U,0.3611309160478413,{}
211,20,200,BruteForce,S,0.8062767500523478,"{1: 0, 2: 1, 3: 1, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 1, 11: 1, 12: 1, 13: 1, 14: 0, 15: 1, 16: 0, 17: 1, 18: 1, 19: 1, 20: 0}"
212,20,200,BruteForce,U,1.5035729589872062,{}
213,20,200,BruteForce,S,0.034696416929364204,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0, 8: 0, 9: 1, 10: 1, 11: 0, 12: 0, 13: 1, 14: 1, 15: 1, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0}"
214,20,200,BruteForce,S,0.5052194581367075,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0, 11: 1, 12: 0, 13: 1, 14: 0, 15: 1, 16: 0, 17: 0, 18: 1, 19: 1, 20: 0}"
215,20,200,BruteForce,U,1.233185375109315,{}
216,20,200,BruteForce,U,1.2587649170309305,{}
